rank|status|study|conditions|interventions|study_type|phase|funder_type|outcome_measures|number_enrolled|nct_number|start_date
4453|Completed                  Has Results|The DURABLE Trial: Evaluating the Durability of Starter Insulin Regimens in Patients With Type 2 Diabetes (IOOV)||Drug:Insulinglargine;  Drug:LisproLowMix;  Drug:LisproMidMix;  Drug:Lispro|Interventional|Phase 4|Industry|INITIATION: 24-Week Endpoint Glycosylated Hemoglobin (HbA1c);  MAINTENANCE: Duration of Time HbA1c Maintained at Goal by Initiation Regimen (Insulin Glargine or Lispro Low Mix);  ADDENDUM:24-WeekEndpointHbA1c;  INITIATION: Change in HbA1c From Baseline to 24 Weeks;  INITIATION: Percentage of Participants With HbA1c &lt; or = 7.0% HbA1c &lt;7.0% and HbA1c &lt; or = 6.5% at Endpoint;  INITIATION:HbA1c;  INITIATION: 7-point Self-monitored Plasma Glucose (SMPG) Profiles and Postprandial Excursions;  INITIATION: Change From Baseline to Endpoint in 15 Anhydroglucitol (15 AG);  INITIATION: Incremental Change From Baseline in Body Weight;  INITIATION:BodyWeight;  INITIATION: Percentage of Participants With Self-reported Hypoglycemic Episodes;  INITIATION: Rate of Self-reported Hypoglycemic Episodes;  INITIATION:InsulinDose;  INITIATION: Participant Demographics of Participants Who Did Versus Did Not Achieve HbA1c Goal at Week 24 - Age;  INITIATION: Participant Demographics of Participants Who Did Versus Did Not Achieve HbA1c Goal at Week 24 - Origin;  INITIATION: Participant Demographics of Participants Who Did Versus Did Not Achieve HbA1c Goal at Week 24 - Homeostasis Model Assessment of Insulin Resistance (HOMA-IR);  INITIATION: Participant Demographics of Participants Who Did Versus Did Not Achieve HbA1c Goal at Week 24 - HbA1c;  INITIATION: Participant Demographics of Participants Who Did Versus Did Not Achieve HbA1c Goal at Week 24 - Baseline HbA1c Percentage Group;  INITIATION: Participant Demographics of Participants Who Did Versus Did Not Achieve HbA1c Goal at Week 24 - 15 AG;  INITIATION: Participant Demographics of Participants Who Did Versus Did Not Achieve HbA1c Goal at Week 24 - Pre Meals Blood Glucose Post Meals Blood Glucose Average of All Blood Glucose and Fasting Blood Glucose;  INITIATION: Participant Demographics of Participants Who Did Versus Did Not Achieve HbA1c Goal - Oral Diabetes Medication at Baseline;  MAINTENANCE: HbA1c at Specified Visits and Endpoint;  MAINTENANCE: 7-point SMPG Profiles and Postprandial Excursions;  MAINTENANCE:RateofIncreaseinHbA1c;  MAINTENANCE: Percentage of Participants With HbA1c &lt; or = 7.0% HbA1c &lt;7.0 and HbA1c &lt; or = 6.5%;  MAINTENANCE: Incremental Change From Baseline in Body Weight;  MAINTENANCE:BodyWeight;  MAINTENANCE:InsulinDose;  MAINTENANCE: Percentage of Participants With Self-reported Hypoglycemic Episodes;  MAINTENANCE: Rate of Self-reported Hypoglycemic Episodes;  MAINTENANCE: Change From Baseline in 15-Anhydroglucitol;  MAINTENANCE: Change From Baseline to Endpoint in HbA1c;  MAINTENANCE: Participant Demographics of Insulin Glargine Participants Who Did Versus Did Not Maintain HbA1c Goal - Duration of Diabetes;  MAINTENANCE: Participant Demographics of Lispro LM Participants Who Did Versus Did Not Maintain HbA1c Goal - Duration of Diabetes;  MAINTENANCE: Participant Demographics of Insulin Glargine Participants Who Did Versus Did Not Maintain HbA1c Goal - Duration of Diabetes Group;  MAINTENANCE: Participant Demographics of Lispro LM Participants Who Did Versus Did Not Maintain HbA1c Goal - Duration of Diabetes Group;  MAINTENANCE: Participant Demographics of Insulin Glargine Participants Who Did Versus Did Not Maintain HbA1c Goal - Baseline HbA1c;  MAINTENANCE: Participant Demographics of Lispro LM Participants Who Did Versus Did Not Maintain HbA1c Goal - Baseline HbA1c;  MAINTENANCE: Participant Demographics of Insulin Glargine Participants Who Did Versus Did Not Maintain HbA1c Goal - Baseline HbA1c Group;  MAINTENANCE: Participant Demographics of Lispro LM Participants Who Did Versus Did Not Maintain HbA1c Goal - Baseline HbA1c Group;  MAINTENANCE: Participant Demographics of Insulin Glargine Participants Who Did Versus Did Not Maintain HbA1c Goal - Oral Diabetes Medicine at Baseline;  MAINTENANCE: Participant Demographics of Lispro LM Participants Who Did Versus Did Not Maintain HbA1c Goal - Oral Diabetes Medicine at Baseline;  MAINTENANCE: Participant Demographics of Insulin Glargine Participants Who Did Versus Did Not Maintain HbA1c Goal - 15 AG;  MAINTENANCE: Participant Demographics of Lispro LM Participants Who Did Versus Did Not Maintain HbA1c Goal - 15 AG;  MAINTENANCE: Participant Demographics of Insulin Glargine Participants Who Did Versus Did Not Maintain HbA1c Goal - Mean of Post Meals Blood Glucose and Average of All Blood Glucose;  MAINTENANCE: Participant Demographics of Lispro LM Participants Who Did Versus Did Not Maintain HbA1c Goal - Mean of Post Meals Blood Glucose and Average of All Blood Glucose;  ADDENDUM: Change in HbA1c From Point of Second Randomization (Addendum Baseline) to Endpoint;  ADDENDUM: Percentage of Participants With HbA1c &lt; or = 7.0% HbA1c &lt; 7.0% and &lt; or = 6.5%;  ADDENDUM:7-pointSMPGProfiles;  ADDENDUM: Incremental Change From Baseline in Body Weight;  ADDENDUM:BodyWeight;  ADDENDUM:InsulinDose;  ADDENDUM: Percentage of Participants With Self-reported Hypoglycemic Episodes;  ADDENDUM: Rate of Self-reported Hypoglycemic Episodes;  ADDENDUM: Change From Baseline in 15-Anhydroglucitol to Week 24;  ADDENDUM:HbA1catSpecifiedVisitsandEndpoint|2091|NCT00279201|December 2005
4454|Terminated                  Has Results|OMNI Study--Assessing Therapies in Medtronic Pacemaker Defibrillator and Cardiac Resynchronization Therapy Devices.|||Observational||Industry|ImplantedSystemsFrequencies;  Implantable Pulse Generator (IPG) Device Baseline Programming Frequencies.;  ICD/CRT-DDeviceBaselineProgrammingFrequencies;  ICD/CRT-D Device Baseline Programming Measurements;  AV Block Status by Device Type at 6 and 12 Months.;  AV Block Status by Severity of Historical AV Block;  Summary of ATP Episodes Within All Treated Episodes;  Compare First Shock Rate Between Medtronic &quot;PainFREE&quot; Programming and &quot;SCD-HeFT&quot; Programming in Primary Prevention Study Participants.;  Frequencies of Subjects With OptiVol Trends and Disease Progression.|3032|NCT00277524|August 2005
4455|Completed|Cisplatin and Radiation Therapy With or Without Tirapazamine in Treating Patients With Cervical Cancer||Drug:cisplatin;  Drug:tirapazamine|Interventional|Phase 3|NIH / Other|Progression-freesurvival;  Frequency and severity of adverse events assessed by Common Terminology Criteria for Adverse Events version 3.0;  Overallsurvival|402|NCT00262821|February 2006
4456|Completed                  Has Results|Safety and Efficacy of Dexlansoprazole Modified Release Formulation to Treat Heartburn||Drug:DexlansoprazoleMR;  Drug:Placebo|Interventional|Phase 3|Industry|Percentage of Days With Neither Daytime Nor Nighttime Heartburn During Treatment as Assessed by Daily Electronic Diary-Median;  Percentage of Days With Neither Daytime Nor Nighttime Heartburn During Treatment as Assessed by Daily Electronic Diary-Mean;  Percentage of Days Without Nighttime Heartburn During Treatment as Assessed by Daily Electronic Diary-Median;  Percentage of Days Without Nighttime Heartburn During Treatment as Assessed by Daily Electronic Diary-Mean|908|NCT00251758|December 2005
4457|Completed|A Randomized Double-blind Placebo Controlled Comparison of Telmisartan Hydrochlorothiazide (HCT) and Valsartan HCT in Hypertension (HTN) Stage I/II Patients||Drug:telmisartan80mg/hydrochlorothiazide25mg;  Drug:valsartan160mg/hydrochlorothiazide25mg;  Drug:placebo|Interventional|Phase 4|Industry|Change from baseline in mean seated trough cuff diastolic and systolic blood pressure measurements at the end of an 8-week treatment period;  Percentage of responders based on change from baseline in cuff diastolic and systolic blood pressure measurements at the end of an 8-week treatment period|1109|NCT00240448|September 2003
4458|Completed|Dose Ranging Study With LT Monotherapy PPAR||Drug:Muraglitazar|Interventional|Phase 2 / Phase 3|Industry|To compare after 24 weeks of oral administration of double-blind treatment the change from baseline in hemoglobin A1c (HbA1c) achieved with the highest dose and subsequent doses of BMS-298585 versus the lowest dose of BMS-298585 in subjects with Type 2;  To assess after 12 and 24 weeks of oral administration of double-blind therapy the percent change from baseline in fasting lipids (total cholesterollow density lipoprotein cholesterolHDL-C TG non-HDL chol|1260|NCT00240383|May 2002
4459|Unknown&nbsp;&#8224;|Proteomic Profiling in Diagnosing Ovarian Cancer in Patients Who Are Undergoing Surgery for an Abnormal Pelvic Mass||Genetic:proteomicprofiling;  Other: surface-enhanced laser desorption/ionization-time of flight mass spectrometry;  Procedure:biopsy|Interventional||Other / NIH|Proteomic proflie (i.e. discrimination of tumor from nontumor in pelvic mass)|2000|NCT00238342|October 2005
4460|Completed|A Controlled Pregabalin Trial In Fibromyalgia||Drug:pregabalin;  Drug:placebo|Interventional|Phase 3|Industry|To evaluate the efficacy of pregabalin for pain relief by comparing the mean pain score between treatment groups and placebo.;  To evaluate the efficacy of pregabalin for improvement in sleep fatigue health-related quality of life functioning and mood disturbance associated with fibromyalgia. To evaluate safety and tolerability.|740|NCT00230776|October 2005
4461|Completed                  Has Results|Extension Study of the Safety and Efficacy of Armodafinil in the Treatment of Patients With Excessive Sleepiness||Drug:Armodafinil100to250mg/day|Interventional|Phase 3|Industry|Safety and Tolerability in This Patient Population (Narcolepsy OSAHS SWSD) Over Time (up to 2 Years)|743|NCT00228553|May 2004
4462|Completed                  Has Results|Efficacy and Safety of Adalimumab in Patients With Active Rheumatoid Arthritis Treated Concomitantly With Methotrexate.||Biological:Adalimumab;  Drug:Placebo|Interventional|Phase 3|Industry|Number of Participants Meeting American College of Rheumatology 20% (ACR20) Response Criteria at Week 24;  Change From Baseline in Modified Total Sharp X-ray Score at Week 52;  Change From Baseline in the Disability Index of the Health Assessment Questionnaire (HAQ) at Week 52;  Number of Participants Meeting ACR20 Response Criteria at Week 52;  Change From Baseline in Modified Total Sharp X-ray Score at Week 24;  Change From Baseline in the Disability Index of the Health Assessment Questionnaire (HAQ) at Week 24;  Maintenance of the Disability Index of the HAQ at Week 52 for Participants Who Were Responders at Week 12 or Week 24;  Maintenance of ACR20 Response at Week 52 for Participants Who Were ACR20 Responders at Week 24;  Number of Participants With a Continuous ACR70 Response for 6 Months During 52 Weeks of Treatment;  Time to First Response According to ACR20 Criteria - Number of Participants Meeting ACR20 Criteria for the First Time at Each Time Point;  Time to First Response According to ACR50 Criteria - Number of Participants Meeting ACR50 Criteria for the First Time at Each Time Point;  Time to First Response According to ACR70 Criteria - Number of Participants Meeting ACR70 Criteria for the First Time at Each Time Point;  Estimated Yearly Progression of Rheumatoid Arthritis|619|NCT00195702|February 2000
4463|Completed|Study of co-Administration of Olmesartan Medoxomil Plus Amlodipine in Patients With Mild to Severe Hypertension||Drug:Olmesartanmedoxomil;  Drug:Amlodipine|Interventional|Phase 3|Industry|Change from baseline in trough seated systolic blood pressure and seated diastolic blood pressure for each treatment arm;  To evaluate the number (%) of patients achieving BP goal.;  To characterize the pharmacokinetic interactions and the corresponding pharmacodynamic (BP) correlation|1900|NCT00185133|May 2005
4464|Completed|PPAR-COMBO With Sulfonylurea||Drug:Muraglitazar|Interventional|Phase 3|Industry|Compare change from baseline in HbA1c after 24 weeks of treatment with muraglitazar + glyburide vs placebo + glyburide;  Change in FPG from basline to W24 proportion of subjects receiving therapeutic response at W24 percent change of fasting lipid levels from baseline to W11/12 change in hs-CRP from baseline to W24|534|NCT00162175|July 2003
4465|Completed|Efficacy Study Comparing 0.9 g and 1.25 g Estrogel With Placebo for Vasomotor Symptoms and Vulvar and Vaginal Atrophy||Drug:Estradiol|Interventional|Phase 4|Industry|||NCT00160173|
4466|Completed|Clinical Utility of Caduet in Achieving Blood Pressure and Lipid Endpoints in a Specific Patient Population||Drug:Amlodipine/Atorvastatin|Interventional|Phase 4|Industry|To evaluate the efficacy of Caduet therapy by assessing the percentage of intent-to-treat subjects achieving both BP and lipid treatment goals (JNC VII and NCEP ATP III);  To assess the percentage of subjects achieving treatment goals(JNC VII and NCEP) stratified by the final BP and lipid therapy doses respectively the change from baseline in lipid profile SBP and DBP|500|NCT00150384|July 2004
4467|Completed|A Study of Torcetrapib/Atorvastatin vs Atorvastatin Alone or Placebo in Patients With High Cholesterol||Drug:torcetrapib/atorvastatin;  Drug:atorvastatin;  Drug:placebo|Interventional|Phase 3|Industry|LDLandHDLlevels;  otherlipidparameters|3800|NCT00138762|July 2004
4468|Completed|A Coronary IVUS Study to Compare Torcetrapib/Atorvastatin to Atorvastatin Alone in Subjects With Coronary Heart Disease||Drug:torcetrapib/atorvastatin;  Drug:atorvastatin|Interventional|Phase 3|Industry|Change coronary artery atheroma volume as measured by intravascular ultrasound.;  Changesinlevelsoflipidsandotherbiomarkers.|1100|NCT00134173|October 2003
4469|Completed                  Has Results|Study of MEDI-524 (Motavizumab) for the Prophylaxis of Serious Respiratory Syncytial Virus (RSV) Disease in High-Risk Children||Biological:motavizumab(MEDI-524);  Biological:palivizumab|Interventional|Phase 3|Industry|Incidence of RSV Hospitalization (Includes Deaths by RSV);  Number of Participants Reporting Any Adverse Events (AEs);  NumberofParticipantsReportingAnyRelatedAEs;  Number of Participants Reporting Any Serious Adverse Events (SAEs);  NumberofParticipantsReportingAnyRelatedSAEs;  Number of Participants Reporting AEs by Highest Severity Grade;  Number of Participants Who Discontinued Study Drug Due to AEs;  NumberofParticipantsWhoDied;  Number of Participants Reporting Changes in Vital Signs From Baseline;  The Incidence of Outpatient Medically-attended Lower Respiratory Illness (LRI);  The Incidence of RSV-specific Medically-attended Outpatient Lower Respiratory Illnesses (LRIs) Between Treatment Groups;  The Incidence of Medically-attended Otitis Media (OM) Infections;  The Frequency of Prescribed Antibiotics for Medically-attended LRI;  The Frequency of Prescribed Antibiotics for Medically-attended OM Infections;  The Number of Participants With Anti-motavizumab Antibodies;  TheSerumConcentrationsofMotavizumabatDay0;  The Trough Serum Concentrations of Motavizumab at 30 Days Post Dose 1;  The Trough Serum Concentrations of Motavizumab at 30 Days Post Dose 2;  The Trough Serum Concentrations of Motavizumab at 30 Days Post Dose 3;  The Trough Serum Concentrations of Motavizumab at 30 Days Post Dose 4|6635|NCT00129766|November 2004
4470|Completed|Trivalent Live Cold Adapted Influenza Vaccine (CAIV-T) Against Inactivated Influenza Vaccine (TIV) in Children 6&#8211;59 Months of Age||Drug:LiquidCAIV-T|Interventional|Phase 3|Industry|The primary efficacy endpoint of this study is the relative efficacy of CAIV-T;  compared to TIV against the incidence of culture-confirmed symptomatic influenza infection caused by community-acquired wild-type strains antigenically similar to those contained in the vaccine occurring during the;  influenza surveillance period and at least 14 days after the last required vaccination;  Culture-confirmed symptomatic influenza infection regardless of antigenic match;  Febrile acute otitis media (AOM) with antibiotic use associated with culture-confirmed influenza infection antigenically similar to vaccine strains;  Febrile acute otitis media (AOM) with antibiotic use associated with culture-confirmed influenza infection regardless of antigenic match;  Lower respiratory illness (LRI) with culture-confirmed influenza infection antigenically similar to vaccine strains and;  Lower respiratory illness (LRI) with culture-confirmed influenza infection regardless of antigenic match|8500|NCT00128167|October 2004
4471|Active not recruiting                  Has Results|Erlotinib Hydrochloride With or Without Carboplatin and Paclitaxel in Treating Patients With Stage III-IV Non-small Cell Lung Cancer||Drug:Carboplatin;  Drug:ErlotinibHydrochloride;  Other:LaboratoryBiomarkerAnalysis;  Drug:Paclitaxel|Interventional|Phase 2|NIH|18WeeksProgressionFreeSurvival(PFS)Rate;  OverallResponseRate;  Number of Participants With Grade 3 4 or 5 Adverse Event at Least Possibly Related to Treatment.|188|NCT00126581|August 2005
4472|Completed|A Study in People With Abnormal Fat Levels in the Blood||Drug:PPARalpha;  Drug:placebo|Interventional|Phase 2|Industry|EffectsonHDL-CandTriglyceridesafter12weeks;  Safetyafter12weeks;  EffectsonLDL-Cafter12weeks;  Effects on biomarkers of atherosclerosis after 12 weeks;  Effects on factors of metabolic syndrome after 12 weeks|300|NCT00116519|July 2005
4473|Completed|Advair&#174; DISKUS&#174; Versus Serevent&#174; DISKUS&#174; For Chronic Obstructive Pulmonary Disease Exacerbations||Drug: Fluticasone Propionate/Salmeterol Combination Product;  Drug:Salmeterol|Interventional|Phase 4|Industry|Rate of moderate/severe exacerbations over a 52 week treatment period;  The time until the first moderate/severe exacerbation; the annual rate of exacerbations requiring oral corticosteroid treatment and breathing tests conducted over one year|797|NCT00115492|December 2004
4474|Terminated|A Study of the Safety and Efficacy of Nitric Oxide Reduction in Patients With Cardiogenic Shock After a Heart Attack||Drug: Tilarginine Acetate Injection intravenous infusion|Interventional|Phase 3|Industry|Allcausemortalityat30dayspostrandomization;  Number of patients demonstrating resolution of cardiogenic shock compared to placebo;  The duration of cardiogenic shock compared to placebo|658|NCT00112281|May 2005
4475|Completed|Study of Muraglitazar Versus Pioglitazone in Type 2 Diabetes||Drug:Muraglitazar;  Drug:Pioglitazone|Interventional|Phase 3|Industry|ChangeinHBA1cfrombaselinetoWeek24;  ChangeforbaselineinTGandHDL-CatWeek24;  Change from baseline in FPG fasting insulin fasting c-peptide body mass index body weight waist circumferance SBP and DBP.;  To assess safety and tolerability of both Muraglitazar regimens relative to pioglitazone regimen when administered for up to 24 weeks|1440|NCT00106808|August 2005
4476|Completed|Study Of Asthma In Patients Of African Descent||Drug:fluticasonepropionate/salmeterolpowder;  Drug:fluticasonepropionatepowder|Interventional|Phase 4|Industry|Asthmaexacerbationrateperpatientperyear;  Morning peak flow measurement percent of asthma symptom-free days percent of albuterol-free days|479|NCT00102765|November 2004
4477|Completed|Study Of Alvimopan Drug For Treatment Of Constipation Due To Prescription Pain Medication||Drug:alvimopan;  Drug:placebo|Interventional|Phase 2|Industry|Change in weekly SCBM frequency. A SCBM is a spontaneous and complete bowel movement which means a bowel movement that occurs with no laxative use in the prior 24 hours and leaves the subject with the feeling of complete evacuation of the rectum.;  Additional measures of Bowel movement (BM) frequency and symptoms safety profile of the treatment regimens and any changes in pain intensity or opioid use.|233|NCT00101998|October 2003
4478|Completed|Radiation Therapy Temozolomide and Irinotecan in Treating Patients With Newly Diagnosed Glioblastoma Multiforme||Drug:irinotecanhydrochloride;  Drug:temozolomide;  Procedure:adjuvanttherapy;  Radiation:radiationtherapy|Interventional|Phase 2|Other / NIH|Overallsurvival;  Progression-freesurvival|170|NCT00099125|November 2004
4479|Completed|Study of Milnacipran for the Treatment of Fibromyalgia||Drug:milnacipranhydrochloride|Interventional|Phase 3|Industry|Composite responder analysis based on pain and patient global status with or without physical function.;  QualityofLife;  Health Assessment Questionnaire (HAQ) Disability Index;  Fatiguesleepandcognitiveassessments|1200|NCT00098124|November 2004
4480|Completed|A Study to Evaluate Psoriasis Outcomes and Safety Events in Patients With Chronic Moderate to Severe Plaque Psoriasis (RESPONSE)|||Observational|Phase 4|Industry||1846|NCT00096928|March 2005
4481|Completed|Comparison of Radiation Therapy Regimens in Combination With Chemotherapy in Treating Young Patients With Newly Diagnosed Standard-Risk Medulloblastoma||Drug:Cisplatin;  Radiation:CraniospinalIrradiation;  Drug:Cyclophosphamide;  Radiation:Involved-FieldRadiationTherapy;  Other:LaboratoryBiomarkerAnalysis;  Drug:Lomustine;  Other:Quality-of-LifeAssessment;  Radiation:RadiationTherapy;  Drug:VincristineSulfate|Interventional|Phase 3|Other / NIH|Timetoevent-freesurvival(EFS);  Incidence of grade 3 and grade 4 toxicities in any body system as assessed by the National Cancer Institute Common Terminology Criteria for Adverse Events v 4.0;  Localposteriorfossa(LPF)failure;  Non-localposteriorfossa(NLPF)failure;  Non-posteriorfossa(NPF)failure;  Post-treatment endocrine function (e.g. growth sexual maturation and need for hormone replacement) by laboratory assessment clinical history and exam;  Post-treatment hearing loss as measure by audiogram or brainstem auditory evoked response (BAER);  Post-treatment neurocognitive function as measured by neuropsychometric battery;  Timetodeathfromanycause;  Time to recurrence progression or death due to cancer|528|NCT00085735|April 2004
4482|Active not recruiting                  Has Results|Adjuvant Cetuximab and Chemoradiotherapy Using Either Cisplatin or Docetaxel in Treating Patients With Resected Stage III or Stage IV Squamous Cell Carcinoma or Lymphoepithelioma of the Head and Neck||Biological:cetuximab;  Drug:cisplatin;  Drug:docetaxel;  Radiation:radiationtherapy|Interventional|Phase 2|Other / NIH|Disease-freeSurvival;  OverallSurvival;  TreatmentTolerance;  Frequency of Toxicity (Grade 5 and Acute Non-hematologic Grade 4);  FrequencyofOtherAcuteandLateToxicity;  Local-regionalControl;  Correlation of EGFR (Total and Phosphorylated) pMAPK pAKT Stat-3 KI-67 COX-2 and Cyclin B1 Expression With Local-regional Control and Overall and Disease-free Survival|238|NCT00084318|April 2004
4483|Completed                  Has Results|Zoledronate in Preventing Skeletal (Bone)-Related Events in Men Who Are Receiving Androgen Deprivation Therapy For Prostate Cancer and Bone Metastases||Drug:zoledronicacid;  Other:placebo;  Drug:androgendeprivationtherapy;  Drug:GnRHagonist;  DietarySupplement:Calciumsupplement;  DietarySupplement:VitaminD|Interventional|Phase 3|Other / NIH / Industry|TimetoFirstSkeletalRelatedEvent;  OverallSurvival;  Progression-freeSurvival|645|NCT00079001|January 2004
4484|Active not recruiting|Captopril in Treating Patients With Non-Small Cell Lung Cancer or Limited-Stage Small Cell Lung Cancer That Has Been Previously Treated With Radiation Therapy With or Without Chemotherapy||Drug:captopril|Interventional|Phase 2|Other / NIH|Incidenceoftherapy-inducedlungtoxicity;  Correlation of lung toxicities with biochemical markers;  Correlation of quality of life with late effects as measured by European Organization for Research and Treatment of Cancer (EORTC) C-30 or LC-13;  Pulmonary toxicity at 2 years after completion of study treatment|81|NCT00077064|June 2003
4485|Active not recruiting                  Has Results|Adjuvant Chemotherapy in Treating Women Who Have Undergone Resection for Relapsed Breast Cancer; Chemotherapy as Adjuvant for LOcally Recurrent Breast Cancer||Drug:chemotherapy;  Radiation:radiationtherapy|Interventional|Phase 3|Other|Disease-freeSurvival;  OverallSurvival;  SitesofFirstFailures|162|NCT00074152|July 2002
4486|Completed|Gemtuzumab Ozogamicin in Treating Young Patients With Newly Diagnosed Acute Myeloid Leukemia Undergoing Remission Induction and Intensification Therapy||Drug:asparaginase;  Drug:busulfan;  Drug:cyclophosphamide;  Drug:cyclosporine;  Drug:cytarabine;  Drug:daunorubicinhydrochloride;  Drug:etoposide;  Drug:gemtuzumabozogamicin;  Drug:methotrexate;  Drug:mitoxantronehydrochloride;  Procedure:allogeneicbonemarrowtransplantation|Interventional|Phase 2|Other / NIH|Safety;  Completeremissionrate;  Feasibility;  Effectofkaryotypicabnormalities|350|NCT00070174|December 2003
4487|Completed|Study of Irinotecan and Cetuximab Versus Irinotecan as Second-Line Treatment in Patients With Metastatic EGFR-Positive Colorectal Cancer||Drug:cetuximab;  Drug:Irinotecan|Interventional|Phase 3|Industry|OverallSurvival;  ProgressionFreeSurvival;  Response;  DurationofResponse;  TimetoResponse;  DiseaseControlRate;  Safety;  QualityofLife;  HealthEconomics|1302|NCT00063141|April 2003
4488|Completed|Yttrium Y 90 Ibritumomab Tiuxetan and Rituximab in Treating Patients With Non-Hodgkin&apos;s Lymphoma||Biological:rituximab;  Radiation:yttriumY90ibritumomabtiuxetan|Interventional|Phase 2|Other / NIH|Overallresponserate;  Durationofresponse;  Complete response (CR) unconfirmed CR and partial response;  Event-freesurvival;  Timetoprogression;  Timetonextlymphomatreatment|84|NCT00062114|April 2004
4489|Completed|Effect Of Carvedilol Versus Metoprolol On Glycemic Control In Patients With Type II Diabetes And Hypertension||Drug:carvedilol;  Drug:metoprolol|Interventional|Phase 4|Industry|ChangefrombaselineinHbA1cat5months;  Blood pressure at 3 and 5 months Body weight at 3 and 5 months Lab levels (glucose insulin triglycerides cholesterol and albumin:creatinine ratio) at 3 and 5 months.|501|NCT00060931|June 2001
4490|Completed                  Has Results|Comparison of Two Combination Chemotherapy Regimens With Either Vincristine or Vinblastine in Treating Patients With Advanced Anaplastic Large Cell Lymphoma||Drug:doxorubicinhydrochloride;  Drug:mercaptopurine;  Drug:methotrexate;  Drug:prednisone;  Drug:vinblastinesulfate;  Drug:vincristinesulfate|Interventional|Phase 3|Other / NIH|Event-freeSurvival(EFS)|129|NCT00059839|November 2003
4491|Completed                  Has Results|Brain Irradiation in Treating Patients With Limited-Stage Small Cell Lung Cancer||Radiation: Prophylactic cranial irradiation 2.5 Gy fx;  Radiation: Prophylactic cranial irradiation 2.0 Gy fx;  Radiation: Prophylactic cranial irradiation 1.5 Gy fx|Interventional|Phase 2|Other / NIH|IncidenceofChronicNeurotoxicity|265|NCT00057746|February 2003
4492|Completed|TLK286 (Telcyta) vs. Doxil/Caelyx or Hycamtin in Platinum Refractory or Resistant Ovarian Cancer||Drug:TLK286HClforinjection;  Drug:topotecanhydrochlorideforinjection;  Drug:doxorubicinHClliposomeinjection|Interventional|Phase 3|Industry||440|NCT00057720|June 2003
4493|Completed|Study of the Physical and Emotional Needs of Parents Caring for Children Receiving Chemotherapy for Acute Lymphoblastic Leukemia||Other:questionnaireadministration|Interventional||Other / NIH|EventFreeSurvival;  Determine whether caregivers whose child is randomized to receive the 24-hour methotrexate infusion will report lower caregiving demand than will caregivers whose child is randomized to receive the 4-hour infusion;  TotalscorefromtheCMCC|172|NCT00056069|December 2002
4494|No longer available|Atazanavir for HIV Infected Individuals: An Early Access Program||Drug:Atazanavir(BMS-232632)|Expanded Access||Industry|||NCT00046345|May 2002
4495|Completed|Evaluation of the Effect on Glucose Control of AC2993 in Patients With Type 2 Diabetes Mellitus Treated With a Sulfonylurea||Drug:AC2993;  Drug:Placebo|Interventional|Phase 3|Industry|ChangeinHbA1cfromBaselinetoWeek30;  Change in HbA1c from baseline (Day 1) to each of the intermediate visits;  The number of subjects achieving HbA1c target values of &lt; 7% and &lt; 8% by Week 30;  The number of subjects achieving HbA1c reductions of &gt; 0.5% and &gt; 1.0% by Week 30;  The time to achieve HbA1c reductions of 0.5% or more and &gt;1.0% or more;  The time to achieve specific HbA1c target values of &lt; 7% and &lt; 8%;  Change in body weight from Baseline to each intermediate visit and Week 30|377|NCT00039026|February 2002
4496|Completed|Evaluation of the Effect on Glucose Control of AC2993 in Patients With Type 2 Diabetes Mellitus Treated With Metformin||Drug:AC2993;  Drug:Placebo|Interventional|Phase 3|Industry|Change in HbA1c (glycosylated hemoglobin) from baseline to study termination (Week 30);  Change in HbA1c from baseline (Day 1) to each of the intermediate visits;  The number of subjects achieving HbA1c target values of &lt; 7% and &lt; 8% by Week 30;  The number of subjects achieving HbA1c reductions of &gt; 0.5% and &gt; 1.0% by Week 30;  The time to achieve specific HbA1c target values of &lt; 7% and &lt; 8%;  The time to achieve HbA1c reductions of 0.5% or more and &gt;1.0% or more;  Change in body weight from Baseline to each intermediate visit and Week 30|336|NCT00039013|March 2002
4497|Completed                  Has Results|S0202 Gemcitabine and Capecitabine for Unresectable Locally Advanced Metastatic Gallbladder Cancer or Cholangiocarcinoma||Drug:capecitabine;  Drug:gemcitabinehydrochloride|Interventional|Phase 2|Other / NIH|Response;  OverallSurvival;  Number of Patients With Grade 3 Through 5 Adverse Events That Are Related to Study Drug;  AccrualofPatientsWithThisDiseaseSite;  Median Survival Time for Participants With Relevant Biologic Markers|57|NCT00033540|September 2003
4498|Completed|Isotretinoin With or Without Dinutuximab Aldesleukin and Sargramostim Following Stem Cell Transplant in Treating Patients With Neuroblastoma||Biological:Aldesleukin;  Biological:Dinutuximab;  Drug:Isotretinoin;  Other:LaboratoryBiomarkerAnalysis;  Other:PharmacologicalStudy;  Other:Quality-of-LifeAssessment;  Biological:Sargramostim|Interventional|Phase 3|NIH|EFS;  EFS of patients from the non-randomized portion of the trial;  Incidence of toxicities assessed using Common Terminology Criteria for Adverse Events version 4.0;  Numberofcoursesoftherapydelivered;  OS;  OS of patients from the non-randomized portion of the trial|1449|NCT00026312|October 2001
